component_type,name,smiles
Ionizable Lipid,ALC-0315,OCCCCN(CCCCCCOC(C(CCCCCC)CCCCCCCC)=O)CCCCCCOC(C(CCCCCC)CCCCCCCC)=O
Ionizable Lipid,KC2,CCCCC/C=C\\C/C=C\\CCCCCCCCC1(OC(CCN(C)C)CO1)CCCCCCCC/C=C\\C/C=C\\CCCCC
Ionizable Lipid,MC3,CCCCCC=CCC=CCCCCCCCCC(CCCCCCCCC=CCC=CCCCCC)OC(=O)CCCN(C)C
Ionizable Lipid,SM-102,OCCN(CCCCCCCC(OC(CCCCCCCC)CCCCCCCC)=O)CCCCCC(OCCCCCCCCCCC)=O
Ionizable Lipid,C12-200,OC(CCCCCCCCCC)CN(CCN(CC(CCCCCCCCCC)O)CC(CCCCCCCCCC)O)CCN1CCN(CCN(CC(CCCCCCCCCC)O)CC(CCCCCCCCCC)O)CC1
Ionizable Lipid,L319,CN(C)CCCC(OC(CCCCCCCC(OC/C=C\\CCCCCC)=O)CCCCCCCC(OC/C=C\\CCCCCC)=O)=O
Ionizable Lipid,CKK-E12,O=C1NC(CCCCN(CC(CCCCCCCCCC)O)CC(CCCCCCCCCC)O)C(NC1CCCCN(CC(CCCCCCCCCC)O)CC(CCCCCCCCCC)O)=O
Helper Lipid,DOPE,CCCCCCCCC=CCCCCCCCC(=O)OCC(COP(=O)(O)OCCN)OC(=O)CCCCCCCC=CCCCCCCCC
Helper Lipid,DSPC,CCCCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCC
Sterol,Cholesterol,CC(C)CCCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C
Sterol,DC-Cholesterol,CC(C)CCCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)OC(=O)NCCN(C)C)C)C.Cl
Sterol,Beta-sitosterol,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C
PEG-Lipid,C14-PEG,CCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCCNC(=O)OCCOC)OC(=O)CCCCCCCCCCCCC.N
PEG-Lipid,C18-PEG,CCCCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCCNC(=O)OCCOC)OC(=O)CCCCCCCCCCCCCCCCC.N
